Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,pIC50,Standardized Smiles,Molecule
CHEMBL271410,,None,378.48,0,3.21,"126, page S27 table 1",Cc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,IC50,'=',9.333,nM,8.03,No Comment,,UO_0000065,21.22,0.39,4.82,10.68,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,8.03,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B8799A0>
CHEMBL411243,,None,429.37,0,4.67,"109, page S26 table 1",CN(C)CCCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,IC50,'=',8.511,nM,8.07,No Comment,,UO_0000065,18.8,0.41,3.40,12.23,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,8.07,CN(C)CCCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879A10>
CHEMBL270713,,None,387.29,0,3.50,"106, page S26 table 1",CN(C)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,IC50,'=',45.71,nM,7.34,No Comment,,UO_0000065,18.95,0.42,3.84,11.13,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,7.34,CN(C)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879B60>
CHEMBL54475,,None,301.15,0,3.53,"78, page S25 table 1",Brc1cccc(Nc2ncnc3ncccc23)c1,IC50,'=',691.83,nM,6.16,No Comment,,UO_0000065,20.45,0.47,2.63,12.15,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,6.16,Brc1cccc(Nc2ncnc3ncccc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879BD0>
CHEMBL405772,,None,251.29,0,2.66,"72, page S25 table 1",Cc1cccc(Nc2ncnc3ccncc23)c1N,IC50,'=',40.74,nM,7.39,No Comment,,UO_0000065,29.41,0.53,4.73,9.63,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,7.39,Cc1cccc(Nc2ncnc3ccncc23)c1N,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879C40>
CHEMBL402452,,None,253.26,0,2.06,"71, page S25 table 1",Nc1c(O)cccc1Nc1ncnc2ccncc12,IC50,'=',70.79,nM,7.15,No Comment,,UO_0000065,28.23,0.51,5.09,7.37,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,7.15,Nc1c(O)cccc1Nc1ncnc2ccncc12,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879CB0>
CHEMBL406236,,None,280.34,0,2.42,"67, page S25 table 1",CN(C)c1cccc(Nc2ncnc3ccncc23)c1N,IC50,'=',1819.7,nM,5.74,No Comment,,UO_0000065,20.48,0.37,3.32,7.18,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,5.74,CN(C)c1cccc(Nc2ncnc3ccncc23)c1N,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879D20>
CHEMBL124618,,None,252.28,0,1.93,"66, page S25 table 1",Nc1cc2ncnc(Nc3ccccc3N)c2cn1,IC50,'=',5370.32,nM,5.27,No Comment,,UO_0000065,20.89,0.38,3.34,5.13,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,5.27,Nc1cc2ncnc(Nc3ccccc3N)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879D90>
CHEMBL408351,,None,305.26,0,3.37,"62, page S24 table 1",Nc1cc(C(F)(F)F)ccc1Nc1ncnc2ccncc12,IC50,'=',4786.3,nM,5.32,No Comment,,UO_0000065,17.43,0.33,1.95,6.93,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,5.32,Nc1cc(C(F)(F)F)ccc1Nc1ncnc2ccncc12,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879E00>
CHEMBL93032,,None,332.16,0,3.55,"11, page S23 table 1",Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,IC50,'=',0.1738,nM,9.76,No Comment,,UO_0000065,29.38,0.67,6.21,12.47,0,CHEMBL952131,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143196,1,Scientific Literature,J Med Chem,2008.0,None,,,9.76,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879E70>
