Molecule ChEMBL ID,Standardized Smiles,pIC50,MolWt,TPSA,nRotB,HBD,HBA,LogP,NumHetAtoms,NumHeavyAtoms,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,RingCount,FractionCSP3,Asphericity,Eccentricity,InertShpFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadGyr,SphIndex
CHEMBL271410,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,8.03,378.2168094520007,75.2,8.0,2.0,7.0,3.2110200000000004,7.0,28.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,0.38095238095238093,0.34679193775587436,0.9492852299543643,0.0003023151517505618,0.314416208536535,0.7099790942487388,2348.4734064356053,5303.056829446673,7469.314057842898,4.46942398502685,0.07888838811438331
CHEMBL411243,CN(C)CCCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.07,428.1324069000008,65.97,11.0,2.0,6.0,4.674700000000003,7.0,27.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.35,0.5150570310816499,0.979596444342357,0.0004523194502823287,0.2009746407679623,0.8363804667691139,1849.092419631882,7695.223512385952,9200.62557428215,4.672111743893903,0.08243508239233349
CHEMBL270713,CN(C)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,7.34,386.0854567080006,65.97,8.0,2.0,6.0,3.5044000000000013,7.0,24.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.23529411764705882,0.4507539851773647,0.9708717947289749,0.0005179342606411205,0.23959957888055458,0.7777253016276099,1501.5907630148067,4874.070040286292,6267.084316385135,4.040083630283285,0.07596955466979576
CHEMBL54475,Brc1cccc(Nc2ncnc3ncccc23)c1,6.16,300.0010583880003,50.7,2.0,1.0,4.0,3.530900000000001,5.0,18.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.6718184055719452,0.992178039059181,0.001571701981468991,0.12483084077533983,0.8872213269993162,564.4971740571804,4012.1009258900594,4522.097027874029,3.886738195557261,0.024853550293906096
CHEMBL405772,Cc1cccc(Nc2ncnc3ccncc23)c1N,7.39,251.11709541599998,76.72,4.0,2.0,5.0,2.659019999999999,5.0,19.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.07142857142857142,0.5536326889824137,0.9833440503705568,0.0015238031970864331,0.18175389569642683,0.8204005117966001,538.3900712147314,2430.1844440710775,2962.1927450401045,3.435185922572332,0.01977080061530143
CHEMBL402452,Nc1c(O)cccc1Nc1ncnc2ccncc12,7.15,253.096359972,96.95,4.0,3.0,6.0,2.0561999999999996,6.0,19.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.5552059637637483,0.9834850687566107,0.0015140163644598952,0.1809892801599166,0.8200132263311728,541.614506672589,2453.908091418097,2992.5225747847326,3.4382697621576486,0.010690288662314121
CHEMBL406236,CN(C)c1cccc(Nc2ncnc3ccncc23)c1N,5.74,280.14364451200044,79.96,6.0,2.0,6.0,2.4165999999999994,6.0,21.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.13333333333333333,0.5890538908981795,0.9865952508337648,0.001339228302626467,0.16318643029449775,0.8578470351231636,640.5532450596897,3367.2940888609155,3925.2849878736984,3.761566029752878,0.07383201180505057
CHEMBL124618,Nc1cc2ncnc(Nc3ccccc3N)c2cn1,5.27,252.11234438399998,102.74,4.0,3.0,6.0,1.9327999999999999,6.0,19.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.5703203302389479,0.9848938396535828,0.001560480899312025,0.17315924639597763,0.82858826092529,530.9826357314549,2540.8171257349222,3066.4411331359856,3.487905376293002,0.016567710675619008
CHEMBL408351,Nc1cc(C(F)(F)F)ccc1Nc1ncnc2ccncc12,5.32,305.0888299800003,76.72,3.0,2.0,5.0,3.3694000000000006,8.0,22.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.07142857142857142,0.6524502873758189,0.9908200999381669,0.0015175666019602366,0.1351870169747113,0.9702301115445546,639.3328044326431,4588.4579158575,4729.247073720398,4.0384340591361925,0.22921668095695977
CHEMBL93032,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.76,330.9956386600002,78.27000000000001,4.0,3.0,5.0,3.5471000000000017,6.0,20.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.6411028524207371,0.9903399765120376,0.0011839506331450605,0.13866048796299704,0.8742177074540417,738.3903373840507,4655.35580782294,5325.167596273695,4.016878406016704,0.018033186310751882
